名称,PLC地址,数剧类型,功能
输送线看门狗心跳,DB1000.DBW0,WORD ,高电平1秒持续，低电平1秒持续，一直循环
输送线当前运行状态,DB1000.DBW2,WORD ,01自动运行，02手动模式、03故障模式。。。。。
区域报警,DB1000.DBW4,WORD ,"BIT 0：上货区域报警
BIT 1：缓存区域报警
BIT 2：预热房前段环线报警
BIT 3：灭菌柜后端环线报警
BIT 4：急停1
BIT 5：急停2
BIT 6：急停3
BIT 7：急停4                                                                                     BIT 10：急停5 
BIT 11：急停6
BIT 12：急停7
BIT 13：急停8 
BIT 14：急停9
BIT 15：主柜急停  
BIT 15：RGV急停
                                                                               "
缓存线电机运行信号-1,DB1000.DBW6,WORD ,"BIT 0：01001电机运行
BIT 1: 01002电机运行
BIT 2: 01003电机运行（升降电机）
BIT 3: 01004电机运行（滚筒电机）
BIT 4: 01005电机运行（链条电机）
BIT 5: 01006电机运行
BIT 6: 01007电机运行（升降电机）
BIT 7: 01008电机运行（滚筒电机）
BIT 8: 01009电机运行（链条电机）
BIT 9: 01010电机运行（升降电机）
BIT 10: 01011电机运行（滚筒电机）
BIT 11: 01012电机运行（链条电机）
BIT 12: 01013电机运行
BIT 13: 01014电机运行
BIT 14: 01015电机运行
BIT 15: 01016电机运行                                                                            "
缓存线电机运行信号-2,DB1000.DBW8,WORD ,"BIT 0：01017电机运行
BIT 1: 01018电机运行
BIT 2: 01019电机运行
BIT 3: 01020电机运行
BIT 4: 01021电机运行
BIT 5: 01022电机运行
BIT 6: 01023电机运行
BIT 7: 01024电机运行
BIT 8: 01025电机运行（升降电机）
BIT 9: 01026电机运行（滚筒电机）
BIT 10: 01027电机运行（链条电机）
BIT 11: 01028电机运行（升降电机）
BIT 12: 01029电机运行（滚筒电机）
BIT 13: 01030电机运行（链条电机）
BIT 14: 备用
BIT 15: 备用                                                                            "
1\2#灭菌线线电机运行信号--1,DB1000.DBW10,WORD ,"BIT 0：02001电机运行
BIT 1: 02002电机运行
BIT 2: 02003电机运行
BIT 3: 02004电机运行
BIT 4: 02005电机运行
BIT 5: 02006电机运行
BIT 6: 02007电机运行
BIT 7: 02008电机运行
BIT 8: 02009电机运行
BIT 9: 02010电机运行（升降电机）
BIT 10: 02011电机运行（滚筒电机）
BIT 11: 02012电机运行（链条电机）
BIT 12: 02013电机运行（升降电机）
BIT 13: 02014电机运行（滚筒电机）
BIT 14: 02015电机运行（链条电机）
BIT 15: 02016电机运行                                                                           "
1\2#灭菌线线电机运行信号--2,DB1000.DBW12,WORD ,"BIT 0：2017电机运行（升降电机）
BIT 1：02018电机运行（滚筒电机）
BIT 2: 02019电机运行（链条电机）
BIT 3: 02020电机运行（升降电机）
BIT 4: 02021电机运行（滚筒电机）
BIT 5: 02022电机运行（链条电机）
BIT 6: 02023电机运行
BIT 7: 02024电机运行（升降电机）
BIT 8: 02025电机运行（滚筒电机）
BIT 9: 02026电机运行（链条电机）
BIT 10: 02027电机运行（升降电机）
BIT 11: 02028电机运行（滚筒电机）
BIT 12: 02029电机运行（链条电机）
BIT 13: 02030电机运行
BIT 14: 02031电机运行（升降电机）
BIT 15: 02032电机运行（滚筒电机）                                                                             "
1\2#灭菌线线电机运行信号--3,DB1000.DBW14,WORD ,"BIT 0：02033电机运行（链条电机）
BIT 1: 02034电机运行(升降电机)
BIT 2: 02035电机运行（滚筒电机）
BIT 3: 02036电机运行（链条电机）
BIT 4: 备用
BIT 5: 备用
BIT 6: 备用
BIT 7: 备用
BIT 8: 备用
BIT 9: 备用 
BIT 10: 备用
BIT 11: 备用
BIT 12: 备用
BIT 13: 备用
BIT 14: 备用
BIT 15: 备用                                                                           "
3\4#灭菌线线电机运行信号--1,DB1000.DBW16,WORD ,"BIT 0：03001电机运行
BIT 1: 03002电机运行
BIT 2: 03003电机运行
BIT 3: 03004电机运行
BIT 4: 03005电机运行
BIT 5: 03006电机运行
BIT 6: 03007电机运行
BIT 7: 03008电机运行
BIT 8: 03009电机运行
BIT 9: 03010电机运行（升降电机）
BIT 10: 03011电机运行（滚筒电机）
BIT 11: 03012电机运行（链条电机）
BIT 12: 03013电机运行（升降电机）
BIT 13: 03014电机运行（滚筒电机）
BIT 14: 03015电机运行（链条电机）
BIT 15: 03016电机运行                                                                      "
3\4#灭菌线线电机运行信号--2,DB1000.DBW18,WORD ,"BIT 0：03017电机运行（升降电机）
BIT 1：03018电机运行（滚筒电机）
BIT 2: 03019电机运行（链条电机）
BIT 3: 03020电机运行（升降电机）
BIT 4: 03021电机运行（滚筒电机）
BIT 5: 03022电机运行（链条电机）
BIT 6: 03023电机运行
BIT 7: 03024电机运行（升降电机）
BIT 8: 03025电机运行（滚筒电机）
BIT 9: 03026电机运行（链条电机）
BIT 10: 03027电机运行（升降电机）
BIT 11: 03028电机运行（滚筒电机）
BIT 12: 03029电机运行（链条电机）
BIT 13: 03030电机运行
BIT 14: 03031电机运行（升降电机）
BIT 15: 03032电机运行（滚筒电机）                                                                          "
3\4#灭菌线线电机运行信号--3,DB1000.DBW20,WORD ,"BIT 0：03033电机运行（链条电机）
BIT 1: 03034电机运行(升降电机)
BIT 2: 03035电机运行（滚筒电机）
BIT 3: 03036电机运行（链条电机）
BIT 4: 备用
BIT 5: 备用
BIT 6: 备用
BIT 7: 备用
BIT 8: 备用
BIT 9: 备用 
BIT 10: 备用
BIT 11: 备用
BIT 12: 备用
BIT 13: 备用
BIT 14: 备用
BIT 15: 备用                                                                        "
5\6#灭菌线线电机运行信号--1,DB1000.DBW22,WORD ,"BIT 0：04001电机运行
BIT 1: 04002电机运行
BIT 2: 04003电机运行
BIT 3: 04004电机运行
BIT 4: 04005电机运行
BIT 5: 04006电机运行
BIT 6: 04007电机运行
BIT 7: 04008电机运行
BIT 8: 04009电机运行
BIT 9: 04010电机运行（升降电机）
BIT 10: 04011电机运行（滚筒电机）
BIT 11: 04012电机运行（链条电机）
BIT 12: 04013电机运行（升降电机）
BIT 13: 04014电机运行（滚筒电机）
BIT 14: 04015电机运行（链条电机）
BIT 15: 04016电机运行                                                                        "
